learning_rate,finetune_learning_rate,dropout_rate1,dropout_rate2,width_shift,height_shift,shear,zoom,finetune_width_shift,finetune_height_shift,finetune_shear,finetune_zoom,num_conv_layers,num_dense_layers,num_maxpools,neurons_first_conv,neurons_remaining_conv,neurons_dense,rotation,finetune_rotation,horizontal_flip,finetune_horizontal_flip,epochs,finetune_epochs,num_fixed_layers,reinitialize_weights,neurons_bottleneck
0.023235454545454545,0.006130000000000001,0.47454545454545444,0.1718181818181818,0.13636363636363635,0.005454545454545454,0.1718181818181818,0.5727272727272728,0.06909090909090909,0.25818181818181823,0.01909090909090909,0.1709090909090909,4.0,1.0,0.0,3.0,7.0,9.0,108.0,121.0,0.0,0.0,4.0,272.0,3.0,1.0,68.0
0.015977272727272725,0.008830000000000001,0.03818181818181818,0.0827272727272727,0.3,0.2236363636363636,0.5918181818181818,0.2345454545454545,0.27272727272727276,0.04727272727272727,0.3372727272727272,0.2,4.0,3.0,1.0,4.0,5.0,7.0,213.0,69.0,1.0,1.0,5.0,255.0,6.0,1.0,88.0
0.006904545454545454,0.007390000000000001,0.06,0.01909090909090909,0.5399999999999999,0.39818181818181814,0.6936363636363636,0.18,0.04727272727272727,0.3090909090909091,0.1718181818181818,0.08363636363636363,2.0,2.0,0.0,5.0,6.0,8.0,331.0,36.0,1.0,1.0,8.0,206.0,5.0,0.0,37.0
0.04863909090909091,0.00451,0.02727272727272727,0.6809090909090908,0.34363636363636363,0.02727272727272727,0.14636363636363633,0.27818181818181814,0.3527272727272728,0.34545454545454546,0.5154545454545454,0.09090909090909091,4.0,1.0,1.0,5.0,5.0,9.0,285.0,213.0,0.0,1.0,4.0,501.0,6.0,1.0,118.0
0.04773181818181819,0.007210000000000002,0.4418181818181818,0.4772727272727273,0.32181818181818184,0.4963636363636363,0.22272727272727272,0.45272727272727264,0.025454545454545452,0.38181818181818183,0.579090909090909,0.04000000000000001,4.0,1.0,0.0,5.0,5.0,10.0,278.0,187.0,0.0,1.0,10.0,174.0,2.0,0.0,92.0
0.0014609090909090908,0.0027099999999999997,0.2236363636363636,0.21,0.1909090909090909,0.32181818181818184,0.4772727272727273,0.38727272727272727,0.3309090909090909,0.3309090909090909,0.27363636363636357,0.30181818181818176,4.0,2.0,1.0,6.0,6.0,7.0,121.0,180.0,1.0,0.0,7.0,566.0,3.0,0.0,107.0
0.029586363636363633,0.009009999999999999,0.09272727272727273,0.3627272727272726,0.2018181818181818,0.5727272727272728,0.3881818181818181,0.0818181818181818,0.09090909090909091,0.3381818181818182,0.4645454545454545,0.25818181818181823,5.0,1.0,2.0,4.0,7.0,6.0,69.0,206.0,0.0,1.0,5.0,615.0,4.0,1.0,112.0
0.043195454545454544,0.0075699999999999995,0.3,0.1845454545454545,0.45272727272727264,0.12545454545454543,0.5663636363636363,0.21272727272727274,0.3090909090909091,0.1781818181818182,0.13363636363636364,0.018181818181818184,5.0,1.0,2.0,4.0,7.0,7.0,226.0,128.0,1.0,1.0,8.0,190.0,2.0,1.0,16.0
0.04954636363636364,0.00307,0.45272727272727264,0.4645454545454545,0.24545454545454543,0.5181818181818181,0.4645454545454545,0.3545454545454545,0.30181818181818176,0.27272727272727276,0.5536363636363635,0.03272727272727273,4.0,3.0,1.0,4.0,7.0,10.0,3.0,108.0,1.0,1.0,10.0,534.0,2.0,0.0,11.0
0.018699090909090905,0.0037899999999999995,0.24545454545454543,0.3372727272727272,0.01636363636363636,0.27818181818181814,0.43909090909090903,0.42,0.03272727272727273,0.07636363636363637,0.35,0.14181818181818182,3.0,2.0,1.0,3.0,6.0,7.0,259.0,56.0,1.0,1.0,7.0,288.0,1.0,0.0,81.0
0.005090000000000001,0.00127,0.4963636363636363,0.4136363636363636,0.4636363636363636,0.04909090909090909,0.5154545454545454,0.5618181818181818,0.05454545454545454,0.3963636363636364,0.24818181818181817,0.12,4.0,2.0,0.0,5.0,5.0,8.0,265.0,272.0,1.0,1.0,4.0,419.0,1.0,0.0,94.0
0.01144090909090909,0.007750000000000001,0.5836363636363636,0.04454545454545454,0.3763636363636363,0.3545454545454545,0.5027272727272728,0.43090909090909096,0.12,0.2,0.31181818181818177,0.14909090909090908,4.0,2.0,1.0,3.0,5.0,6.0,10.0,252.0,0.0,0.0,5.0,795.0,3.0,1.0,85.0
0.03503,0.00793,0.5509090909090909,0.23545454545454544,0.02727272727272727,0.25636363636363635,0.5409090909090909,0.39818181818181814,0.3745454545454545,0.09090909090909091,0.0827272727272727,0.21454545454545457,4.0,1.0,1.0,4.0,5.0,7.0,147.0,278.0,1.0,1.0,6.0,894.0,6.0,0.0,57.0
0.007811818181818182,0.0063100000000000005,0.31090909090909086,0.4263636363636364,0.25636363636363635,0.0818181818181818,0.6809090909090908,0.5836363636363636,0.06181818181818182,0.13454545454545455,0.21,0.06909090909090909,5.0,3.0,0.0,4.0,5.0,6.0,187.0,193.0,0.0,0.0,9.0,239.0,1.0,1.0,53.0
0.022328181818181816,0.009729999999999999,0.5290909090909091,0.3881818181818181,0.03818181818181818,0.31090909090909086,0.3627272727272726,0.4963636363636363,0.32363636363636367,0.09818181818181818,0.45181818181818184,0.2509090909090909,3.0,2.0,2.0,5.0,5.0,10.0,43.0,226.0,0.0,1.0,4.0,517.0,7.0,1.0,109.0
0.04410272727272728,0.00325,0.28909090909090907,0.5281818181818181,0.33272727272727265,0.5945454545454546,0.2990909090909091,0.47454545454545444,0.08363636363636363,0.08363636363636363,0.6936363636363636,0.3745454545454545,4.0,3.0,2.0,5.0,7.0,8.0,304.0,239.0,0.0,0.0,9.0,108.0,7.0,0.0,20.0
0.036844545454545456,0.005410000000000001,0.3763636363636363,0.6045454545454544,0.10363636363636364,0.33272727272727265,0.31181818181818177,0.4636363636363636,0.2,0.06181818181818182,0.5409090909090909,0.29454545454545455,2.0,2.0,1.0,5.0,6.0,8.0,62.0,10.0,1.0,0.0,8.0,305.0,5.0,0.0,101.0
0.04591727272727273,0.0018100000000000002,0.11454545454545455,0.5536363636363635,0.4963636363636363,0.14727272727272725,0.06999999999999999,0.4854545454545454,0.24363636363636365,0.10545454545454545,0.4263636363636364,0.19272727272727275,4.0,3.0,2.0,3.0,6.0,9.0,350.0,82.0,1.0,1.0,9.0,223.0,1.0,0.0,42.0
0.016884545454545454,0.0016300000000000002,0.43090909090909096,0.37545454545454543,0.47454545454545444,0.4418181818181818,0.006363636363636363,0.4418181818181818,0.38181818181818183,0.30181818181818176,0.5281818181818181,0.3527272727272728,5.0,1.0,1.0,3.0,6.0,8.0,56.0,298.0,1.0,1.0,6.0,321.0,4.0,1.0,9.0
0.021420909090909088,0.0014500000000000001,0.42,0.2863636363636363,0.5727272727272728,0.4636363636363636,0.579090909090909,0.33272727272727265,0.27999999999999997,0.16363636363636364,0.1845454545454545,0.3309090909090909,2.0,1.0,1.0,5.0,5.0,7.0,337.0,115.0,0.0,0.0,3.0,779.0,6.0,0.0,75.0
0.004182727272727273,0.007030000000000001,0.5181818181818181,0.09545454545454544,0.39818181818181814,0.24545454545454543,0.01909090909090909,0.01636363636363636,0.29454545454545455,0.21454545454545457,0.4136363636363636,0.07636363636363637,3.0,2.0,1.0,6.0,4.0,8.0,160.0,147.0,1.0,1.0,5.0,763.0,8.0,0.0,116.0
0.02867909090909091,0.00055,0.4854545454545454,0.6172727272727272,0.5945454545454546,0.5836363636363636,0.2863636363636363,0.16909090909090907,0.13454545454545455,0.11272727272727273,0.09545454545454544,0.13454545454545455,2.0,2.0,1.0,5.0,6.0,8.0,357.0,245.0,0.0,0.0,7.0,468.0,6.0,1.0,46.0
0.02505,0.00037,0.04909090909090909,0.10818181818181817,0.38727272727272727,0.3654545454545455,0.6299999999999999,0.5072727272727272,0.31636363636363635,0.018181818181818184,0.14636363636363633,0.2218181818181818,3.0,2.0,2.0,5.0,5.0,6.0,23.0,219.0,0.0,1.0,3.0,828.0,3.0,1.0,125.0
0.04501,0.0025299999999999997,0.5727272727272728,0.1590909090909091,0.3545454545454545,0.4854545454545454,0.0827272727272727,0.5181818181818181,0.10545454545454545,0.29454545454545455,0.5027272727272728,0.2872727272727273,4.0,1.0,1.0,5.0,6.0,6.0,82.0,101.0,0.0,0.0,3.0,452.0,2.0,0.0,27.0
0.012348181818181815,0.00235,0.33272727272727265,0.5154545454545454,0.4854545454545454,0.5072727272727272,0.24818181818181817,0.3763636363636363,0.3963636363636364,0.2218181818181818,0.4009090909090909,0.3672727272727273,3.0,3.0,2.0,4.0,5.0,8.0,219.0,304.0,1.0,1.0,9.0,714.0,4.0,0.0,24.0
0.008719090909090909,0.006490000000000001,0.3654545454545455,0.06999999999999999,0.2345454545454545,0.16909090909090907,0.4263636363636364,0.03818181818181818,0.3672727272727273,0.03272727272727273,0.006363636363636363,0.36,4.0,3.0,0.0,4.0,7.0,9.0,298.0,311.0,1.0,0.0,8.0,141.0,0.0,0.0,79.0
0.030493636363636365,0.0010900000000000003,0.32181818181818184,0.43909090909090903,0.21272727272727274,0.28909090909090907,0.23545454545454544,0.06,0.26545454545454544,0.14181818181818182,0.6681818181818182,0.32363636363636367,4.0,2.0,1.0,4.0,5.0,6.0,272.0,141.0,0.0,0.0,9.0,665.0,1.0,0.0,22.0
0.010533636363636363,0.0034300000000000003,0.21272727272727274,0.45181818181818184,0.5072727272727272,0.2345454545454545,0.6045454545454544,0.15818181818181817,0.2509090909090909,0.15636363636363637,0.031818181818181815,0.3090909090909091,2.0,3.0,0.0,6.0,6.0,10.0,16.0,259.0,1.0,0.0,9.0,681.0,5.0,0.0,103.0
0.015069999999999998,0.00397,0.01636363636363636,0.6681818181818182,0.27818181818181814,0.4090909090909091,0.45181818181818184,0.3654545454545455,0.23636363636363633,0.19272727272727275,0.3881818181818181,0.38181818181818183,3.0,1.0,1.0,4.0,6.0,5.0,200.0,88.0,0.0,0.0,8.0,125.0,5.0,0.0,123.0
0.02595727272727272,0.005770000000000001,0.14727272727272725,0.2990909090909091,0.28909090909090907,0.21272727272727274,0.26090909090909087,0.3,0.1709090909090909,0.23636363636363633,0.10818181818181817,0.3963636363636364,4.0,2.0,1.0,4.0,6.0,10.0,324.0,350.0,0.0,0.0,6.0,812.0,2.0,1.0,33.0
0.041380909090909086,0.0028899999999999998,0.13636363636363635,0.579090909090909,0.4090909090909091,0.3763636363636363,0.19727272727272724,0.2672727272727273,0.2872727272727273,0.24363636363636365,0.1590909090909091,0.3381818181818182,3.0,3.0,1.0,6.0,6.0,9.0,88.0,49.0,0.0,0.0,7.0,632.0,7.0,1.0,40.0
0.014162727272727271,0.004690000000000001,0.0709090909090909,0.22272727272727272,0.15818181818181817,0.38727272727272727,0.1845454545454545,0.5399999999999999,0.018181818181818184,0.3672727272727273,0.6809090909090908,0.22909090909090912,5.0,2.0,1.0,5.0,5.0,9.0,95.0,134.0,1.0,0.0,7.0,959.0,7.0,1.0,59.0
0.026864545454545453,0.005229999999999999,0.34363636363636363,0.48999999999999994,0.2672727272727273,0.01636363636363636,0.1590909090909091,0.2236363636363636,0.22909090909090912,0.12,0.37545454545454543,0.26545454545454544,5.0,1.0,2.0,4.0,4.0,7.0,141.0,62.0,0.0,1.0,6.0,943.0,3.0,1.0,18.0
0.03321545454545455,0.0059499999999999996,0.39818181818181814,0.31181818181818177,0.4418181818181818,0.2672727272727273,0.5536363636363635,0.09272727272727273,0.04000000000000001,0.36,0.23545454545454544,0.04727272727272727,2.0,1.0,1.0,4.0,7.0,7.0,245.0,291.0,1.0,0.0,8.0,599.0,1.0,0.0,77.0
0.013255454545454544,0.006850000000000001,0.5945454545454546,0.27363636363636357,0.16909090909090907,0.15818181818181817,0.1209090909090909,0.31090909090909086,0.18545454545454546,0.18545454545454546,0.6172727272727272,0.06181818181818182,4.0,2.0,2.0,5.0,6.0,8.0,75.0,167.0,0.0,0.0,6.0,877.0,4.0,1.0,61.0
0.032308181818181826,0.00415,0.12545454545454543,0.3245454545454545,0.18,0.09272727272727273,0.48999999999999994,0.28909090909090907,0.25818181818181823,0.04000000000000001,0.6045454545454544,0.05454545454545454,4.0,2.0,2.0,4.0,4.0,5.0,311.0,75.0,1.0,0.0,4.0,485.0,0.0,0.0,90.0
0.017791818181818183,0.008289999999999999,0.5618181818181818,0.5918181818181818,0.3654545454545455,0.13636363636363635,0.6172727272727272,0.005454545454545454,0.36,0.14909090909090908,0.2863636363636363,0.1272727272727273,5.0,2.0,1.0,3.0,6.0,6.0,232.0,23.0,0.0,0.0,5.0,403.0,0.0,1.0,105.0
0.03412272727272728,0.0055899999999999995,0.18,0.24818181818181817,0.31090909090909086,0.03818181818181818,0.21,0.04909090909090909,0.16363636363636364,0.3745454545454545,0.26090909090909087,0.3890909090909091,2.0,2.0,1.0,3.0,6.0,10.0,134.0,232.0,1.0,1.0,8.0,910.0,8.0,1.0,48.0
0.038659090909090914,0.006670000000000001,0.1909090909090909,0.5027272727272728,0.005454545454545454,0.5618181818181818,0.3245454545454545,0.5290909090909091,0.0036363636363636364,0.1272727272727273,0.06999999999999999,0.11272727272727273,4.0,3.0,1.0,5.0,4.0,6.0,344.0,337.0,0.0,1.0,10.0,992.0,4.0,1.0,35.0
0.04682454545454545,0.005050000000000001,0.2018181818181818,0.6554545454545454,0.5618181818181818,0.10363636363636364,0.37545454545454543,0.5945454545454546,0.3381818181818182,0.31636363636363635,0.3245454545454545,0.23636363636363633,3.0,2.0,1.0,5.0,5.0,8.0,154.0,173.0,1.0,1.0,9.0,730.0,4.0,1.0,55.0
0.03140090909090909,0.00217,0.16909090909090907,0.006363636363636363,0.5290909090909091,0.06,0.6681818181818182,0.32181818181818184,0.3890909090909091,0.025454545454545452,0.5918181818181818,0.18545454545454546,3.0,2.0,0.0,5.0,6.0,9.0,317.0,265.0,1.0,1.0,6.0,697.0,5.0,0.0,66.0
0.040473636363636364,0.00487,0.10363636363636364,0.19727272727272724,0.2236363636363636,0.18,0.10818181818181817,0.11454545454545455,0.14909090909090908,0.3890909090909091,0.2990909090909091,0.025454545454545452,3.0,1.0,1.0,6.0,5.0,6.0,252.0,16.0,0.0,1.0,10.0,354.0,5.0,0.0,64.0
0.009626363636363636,0.0007300000000000001,0.4090909090909091,0.6936363636363636,0.14727272727272725,0.43090909090909096,0.031818181818181815,0.1909090909090909,0.19272727272727275,0.32363636363636367,0.4772727272727273,0.20727272727272725,2.0,2.0,1.0,6.0,4.0,7.0,167.0,3.0,0.0,1.0,8.0,386.0,1.0,0.0,99.0
0.03775181818181818,0.009550000000000001,0.15818181818181817,0.5409090909090909,0.5181818181818181,0.34363636363636363,0.6427272727272727,0.02727272727272727,0.15636363636363637,0.2872727272727273,0.05727272727272727,0.31636363636363635,3.0,2.0,0.0,6.0,4.0,5.0,115.0,317.0,1.0,0.0,7.0,583.0,6.0,1.0,29.0
0.035937272727272734,0.00199,0.3545454545454545,0.031818181818181815,0.06,0.0709090909090909,0.5281818181818181,0.5509090909090909,0.1781818181818182,0.06909090909090909,0.19727272727272724,0.1781818181818182,4.0,2.0,1.0,4.0,7.0,6.0,49.0,154.0,0.0,0.0,4.0,435.0,8.0,0.0,31.0
0.039566363636363636,0.00847,0.25636363636363635,0.4009090909090909,0.0818181818181818,0.5399999999999999,0.27363636363636357,0.13636363636363635,0.1272727272727273,0.01090909090909091,0.48999999999999994,0.34545454545454546,3.0,2.0,2.0,5.0,6.0,9.0,291.0,344.0,0.0,1.0,7.0,337.0,2.0,1.0,120.0
0.005997272727272727,0.00811,0.2345454545454545,0.05727272727272727,0.11454545454545455,0.11454545454545455,0.09545454545454544,0.14727272727272725,0.14181818181818182,0.05454545454545454,0.6427272727272727,0.27999999999999997,3.0,1.0,2.0,4.0,6.0,8.0,101.0,324.0,0.0,0.0,4.0,845.0,5.0,1.0,96.0
0.003275454545454545,0.00865,0.27818181818181814,0.5663636363636363,0.5509090909090909,0.5290909090909091,0.4136363636363636,0.12545454545454543,0.20727272727272725,0.26545454545454544,0.43909090909090903,0.24363636363636365,2.0,3.0,2.0,3.0,6.0,8.0,36.0,357.0,1.0,0.0,5.0,926.0,6.0,1.0,72.0
0.020513636363636362,0.00991,0.5399999999999999,0.6299999999999999,0.04909090909090909,0.5509090909090909,0.05727272727272727,0.2018181818181818,0.01090909090909091,0.0036363636363636364,0.6554545454545454,0.09818181818181818,3.0,3.0,0.0,4.0,5.0,5.0,239.0,285.0,1.0,1.0,5.0,648.0,7.0,1.0,70.0
0.02414272727272727,0.00919,0.38727272727272727,0.6427272727272727,0.12545454545454543,0.42,0.35,0.24545454545454543,0.09818181818181818,0.3527272727272728,0.22272727272727272,0.0036363636363636364,5.0,2.0,0.0,3.0,4.0,5.0,128.0,95.0,1.0,1.0,3.0,157.0,7.0,0.0,13.0
0.0005536363636363637,0.0036100000000000004,0.2672727272727273,0.13363636363636364,0.42,0.47454545454545444,0.6554545454545454,0.34363636363636363,0.11272727272727273,0.2509090909090909,0.5663636363636363,0.10545454545454545,3.0,3.0,0.0,5.0,5.0,6.0,173.0,200.0,1.0,0.0,5.0,975.0,2.0,1.0,83.0
0.04228818181818182,0.00019,0.0818181818181818,0.35,0.5836363636363636,0.3,0.13363636363636364,0.4090909090909091,0.07636363636363637,0.1709090909090909,0.04454545454545454,0.01090909090909091,3.0,3.0,0.0,6.0,4.0,9.0,193.0,160.0,1.0,0.0,4.0,370.0,3.0,0.0,114.0
0.002368181818181818,0.0043300000000000005,0.4636363636363636,0.14636363636363633,0.0709090909090909,0.45272727272727264,0.4009090909090909,0.10363636363636364,0.2218181818181818,0.22909090909090912,0.3627272727272726,0.15636363636363637,5.0,2.0,1.0,6.0,7.0,7.0,180.0,29.0,0.0,0.0,6.0,746.0,7.0,0.0,51.0
0.019606363636363634,0.0009100000000000001,0.005454545454545454,0.1209090909090909,0.09272727272727273,0.1909090909090909,0.3372727272727272,0.0709090909090909,0.34545454545454546,0.27999999999999997,0.1209090909090909,0.27272727272727276,3.0,2.0,2.0,4.0,4.0,6.0,29.0,331.0,0.0,1.0,6.0,550.0,4.0,0.0,127.0
0.027771818181818175,0.00937,0.5072727272727272,0.26090909090909087,0.43090909090909096,0.2018181818181818,0.04454545454545454,0.25636363636363635,0.21454545454545457,0.20727272727272725,0.6299999999999999,0.16363636363636364,3.0,2.0,0.0,4.0,5.0,9.0,206.0,43.0,0.0,0.0,9.0,861.0,3.0,1.0,44.0
0.005361956326327074,0.00865,0.27818181818181814,0.37590864028315685,0.5509090909090909,0.5816772918895496,0.4136363636363636,0.15245960336552783,0.20727272727272725,0.15088293693355972,0.43909090909090903,0.2501392027306595,2.0,3.0,2.0,3.0,6.0,8.0,5.0,244.0,1.0,0.0,3.0,991.0,8.0,1.0,45.0
0.026485028363804626,0.00794846306755437,0.2941938729967132,0.5077239446877377,0.5021440478502105,0.37487991851742786,0.4136363636363636,0.12545454545454543,0.2419963014520934,0.2524543230069051,0.44755171401647736,0.3315248158554963,2.0,3.0,2.0,5.0,6.0,8.0,146.0,357.0,1.0,1.0,5.0,988.0,6.0,1.0,71.0
0.012710757736846228,0.00865,0.3350296261210091,0.44766484899747466,0.4035815224043191,0.5290909090909091,0.6156850479908664,0.2808990251048532,0.2044391903503925,0.27738238094012024,0.5607122305408476,0.08996971348703814,2.0,3.0,1.0,3.0,6.0,8.0,8.0,357.0,1.0,1.0,5.0,926.0,3.0,1.0,119.0
0.003275454545454545,0.00865,0.27818181818181814,0.5663636363636363,0.5613911925745151,0.5582341152747627,0.4136363636363636,0.12545454545454543,0.34855841179003033,0.26545454545454544,0.43909090909090903,0.15637151146428102,2.0,2.0,2.0,3.0,5.0,8.0,79.0,357.0,1.0,0.0,4.0,926.0,6.0,1.0,14.0
0.003275454545454545,0.008681356621963999,0.27818181818181814,0.5663636363636363,0.5566214421765181,0.5582341152747627,0.27625907689788953,0.09008449622557443,0.35503796997466625,0.26545454545454544,0.43909090909090903,0.15637151146428102,2.0,2.0,2.0,4.0,5.0,7.0,65.0,357.0,0.0,1.0,4.0,732.0,6.0,0.0,14.0
0.003275454545454545,0.00865,0.31771245709542006,0.6215855221484552,0.5613911925745151,0.4931035343864136,0.4136363636363636,0.12545454545454543,0.34855841179003033,0.142105307707388,0.2672721242175381,0.21646430502198288,2.0,2.0,2.0,3.0,6.0,8.0,1.0,350.0,1.0,1.0,4.0,867.0,6.0,1.0,14.0
0.0023295808284372493,0.006599937983562442,0.27818181818181814,0.6066709435469566,0.5613911925745151,0.5582341152747627,0.4136363636363636,0.14522442600765142,0.3318823252419389,0.3465962056163904,0.43909090909090903,0.15637151146428102,2.0,2.0,2.0,3.0,5.0,8.0,213.0,221.0,0.0,0.0,4.0,926.0,7.0,0.0,14.0
0.001089359909927633,0.0059947570096651704,0.27818181818181814,0.6597288278093899,0.5613911925745151,0.5582341152747627,0.4136363636363636,0.19429593196359943,0.2705468960901883,0.12024282263999869,0.2873422089464889,0.15637151146428102,3.0,2.0,2.0,3.0,5.0,8.0,79.0,357.0,0.0,1.0,4.0,926.0,6.0,1.0,44.0
0.003275454545454545,0.00865,0.27818181818181814,0.6704283138144528,0.5613911925745151,0.3096516151931924,0.3736105909703106,0.12545454545454543,0.34855841179003033,0.32952753108147287,0.15557336261630428,0.15637151146428102,2.0,2.0,2.0,3.0,5.0,8.0,37.0,337.0,1.0,0.0,4.0,458.0,6.0,1.0,14.0
0.003275454545454545,0.00865,0.1199814732955867,0.6635422416047383,0.5613911925745151,0.5347644693131463,0.5987305381668988,0.12545454545454543,0.3677656362256826,0.26545454545454544,0.43909090909090903,0.15637151146428102,2.0,2.0,2.0,4.0,7.0,7.0,79.0,357.0,1.0,0.0,5.0,819.0,4.0,0.0,14.0
0.003275454545454545,0.00865,0.055042134801055714,0.5663636363636363,0.5715513841161306,0.4078360100034415,0.4835198670402838,0.06556407510400178,0.3858652116676488,0.26545454545454544,0.43909090909090903,0.15637151146428102,2.0,1.0,2.0,3.0,4.0,8.0,79.0,353.0,1.0,0.0,4.0,675.0,5.0,1.0,14.0
